item_idx,variant,has_error,grading_correct,said_error,reasoning_entropy,mean_confidence
0,baseline,False,True,False,0.6730116670092565,
0,restate,False,True,False,0.5004024235381879,
0,balanced,False,True,False,0.6730116670092565,
0,confidence,False,False,True,0.0,63.0
1,baseline,False,False,True,0.0,
1,restate,False,False,True,0.9502705392332347,
1,balanced,False,False,True,0.0,
1,confidence,False,False,True,0.0,90.0
2,baseline,True,True,True,0.0,
2,restate,True,True,True,0.6730116670092565,
2,balanced,True,True,True,0.0,
2,confidence,True,True,True,0.6730116670092565,79.0
3,baseline,False,True,False,0.5004024235381879,
3,restate,False,True,False,0.0,
3,balanced,False,True,False,0.6730116670092565,
3,confidence,False,True,False,0.6730116670092565,90.0
4,baseline,False,False,True,0.6730116670092565,
4,restate,False,True,False,0.0,
4,balanced,False,False,True,0.5004024235381879,
4,confidence,False,False,True,0.0,56.0
5,baseline,True,True,True,0.0,
5,restate,True,True,True,0.6730116670092565,
5,balanced,True,True,True,0.0,
5,confidence,True,True,True,0.0,76.0
6,baseline,True,True,True,0.0,
6,restate,True,False,False,0.6730116670092565,
6,balanced,True,True,True,0.5004024235381879,
6,confidence,True,True,True,0.5004024235381879,87.0
7,baseline,False,False,True,0.6730116670092565,
7,restate,False,True,False,0.0,
7,balanced,False,False,True,0.5004024235381879,
7,confidence,False,False,True,0.6730116670092565,95.0
8,baseline,True,True,True,0.5004024235381879,
8,restate,True,True,True,0.9502705392332347,
8,balanced,True,True,True,0.0,
8,confidence,True,True,True,0.6730116670092565,90.0
9,baseline,False,False,True,0.0,
9,restate,False,False,True,1.0549201679861442,
9,balanced,False,False,True,0.5004024235381879,
9,confidence,False,False,True,0.5004024235381879,72.0
10,baseline,False,False,True,0.0,
10,restate,False,True,False,0.0,
10,balanced,False,False,True,0.5004024235381879,
10,confidence,False,False,True,0.5004024235381879,90.0
11,baseline,False,False,True,0.0,
11,restate,False,False,True,1.0549201679861442,
11,balanced,False,True,False,0.6730116670092565,
11,confidence,False,False,True,0.6730116670092565,83.0
12,baseline,False,False,True,0.6730116670092565,
12,restate,False,False,False,0.0,
12,balanced,False,False,True,0.5004024235381879,
12,confidence,False,False,True,0.5004024235381879,82.0
13,baseline,True,True,True,0.0,
13,restate,True,False,False,0.6730116670092565,
13,balanced,True,True,True,0.6730116670092565,
13,confidence,True,True,True,0.0,72.0
14,baseline,False,False,True,0.5004024235381879,
14,restate,False,True,False,0.0,
14,balanced,False,False,True,0.5004024235381879,
14,confidence,False,True,False,0.6730116670092565,93.0
15,baseline,False,False,True,0.0,
15,restate,False,False,True,0.5004024235381879,
15,balanced,False,False,True,0.0,
15,confidence,False,False,True,0.0,58.0
16,baseline,True,True,True,0.5004024235381879,
16,restate,True,False,False,1.0549201679861442,
16,balanced,True,True,True,0.0,
16,confidence,True,True,True,0.0,73.0
17,baseline,True,True,True,0.0,
17,restate,True,False,False,0.6730116670092565,
17,balanced,True,True,True,0.5004024235381879,
17,confidence,True,True,True,0.0,83.0
18,baseline,True,True,True,0.0,
18,restate,True,True,True,0.5004024235381879,
18,balanced,True,True,True,0.6730116670092565,
18,confidence,True,True,True,0.5004024235381879,70.0
19,baseline,False,False,True,0.5004024235381879,
19,restate,False,False,True,0.6730116670092565,
19,balanced,False,False,True,0.6730116670092565,
19,confidence,False,False,True,0.5004024235381879,68.0
20,baseline,False,False,True,0.5004024235381879,
20,restate,False,False,False,0.6730116670092565,
20,balanced,False,False,True,0.6730116670092565,
20,confidence,False,False,True,0.0,69.0
21,baseline,False,False,True,0.0,
21,restate,False,True,False,0.6730116670092565,
21,balanced,False,False,True,0.0,
21,confidence,False,False,True,0.5004024235381879,68.0
22,baseline,False,False,True,0.0,
22,restate,False,True,False,0.5004024235381879,
22,balanced,False,False,True,0.6730116670092565,
22,confidence,False,False,True,0.0,90.0
23,baseline,False,False,True,0.5004024235381879,
23,restate,False,True,False,0.0,
23,balanced,False,False,True,0.5004024235381879,
23,confidence,False,False,True,0.5004024235381879,81.0
24,baseline,False,False,True,0.6730116670092565,
24,restate,False,False,True,0.6730116670092565,
24,balanced,False,True,False,0.6730116670092565,
24,confidence,False,False,True,0.5004024235381879,84.0
25,baseline,False,False,True,0.0,
25,restate,False,True,False,0.5004024235381879,
25,balanced,False,False,True,0.5004024235381879,
25,confidence,False,False,True,0.0,65.0
26,baseline,True,True,True,0.0,
26,restate,True,False,False,0.0,
26,balanced,True,True,True,0.5004024235381879,
26,confidence,True,True,True,0.0,82.0
27,baseline,True,True,True,0.5004024235381879,
27,restate,True,False,False,0.5004024235381879,
27,balanced,True,True,True,0.6730116670092565,
27,confidence,True,True,True,0.0,86.0
28,baseline,False,False,True,0.5004024235381879,
28,restate,False,False,True,0.6730116670092565,
28,balanced,False,False,True,0.5004024235381879,
28,confidence,False,False,True,0.6730116670092565,69.0
29,baseline,True,True,True,0.0,
29,restate,True,True,True,0.5004024235381879,
29,balanced,True,True,True,0.0,
29,confidence,True,True,True,0.6730116670092565,70.0
30,baseline,True,True,True,0.0,
30,restate,True,False,False,0.0,
30,balanced,True,True,True,0.0,
30,confidence,True,True,True,0.0,91.0
31,baseline,True,True,True,0.0,
31,restate,True,True,True,0.6730116670092565,
31,balanced,True,True,True,0.0,
31,confidence,True,True,True,0.0,89.0
32,baseline,True,True,True,0.5004024235381879,
32,restate,True,False,False,0.9502705392332347,
32,balanced,True,True,True,0.0,
32,confidence,True,True,True,0.0,82.0
33,baseline,False,False,True,0.5004024235381879,
33,restate,False,False,True,0.6730116670092565,
